T,19693
A,16889
L,9894
B,9718
E,8635
W,8579
D,8445
O,8108
M,7719
C,7539
R,6777
Y,6427
H,6221
F,5980
G,5011
V,4304
K,2877
TS,2533
TSLA,2331
J,2114
SB,1274
X,1111
SP,990
BA,931
BV,912
AP,870
TH,863
RE,862
AA,833
PY,789
NG,773
AN,717
AR,698
HA,688
AAP,662
DD,655
AAPL,651
AM,644
AT,640
KT,585
RKT,564
Z,562
GE,528
NVDA,460
IT,448
LL,448
HE,437
ON,422
ES,420
AB,406
ST,378
EA,371
TM,362
DS,360
TC,354
MO,348
BABA,346
FT,339
ING,330
EW,327
ARD,326
ED,323
AL,318
CHA,316
INT,310
ET,309
EME,303
ARDS,298
GO,296
BE,293
LE,280
ATH,272
SE,266
OR,261
INTC,257
MS,253
QQQ,246
IP,245
MD,245
MA,244
AMD,236
HI,231
SF,228
CO,226
EOD,222
MSFT,220
TA,219
AC,217
NK,212
LI,200
ZN,197
ALL,196
CE,193
AMZN,187
IX,183
PE,176
BL,174
RS,172
AY,172
EV,168
RH,158
EL,154
PS,150
JP,148
PM,145
TR,141
KE,138
DE,136
RA,134
FB,134
OI,128
SA,125
SD,123
UL,122
TD,119
FSLY,118
GL,117
WH,117
EC,116
NI,116
IO,113
OC,111
AI,110
GT,110
DT,108
SI,107
FE,104
KIN,100
VER,95
CAL,93
IR,92
SQ,91
BR,89
AG,89
SO,89
CL,88
MU,86
NC,85
LEA,84
BJ,83
WM,82
LYFT,82
BC,81
UN,81
RP,81
UBER,79
PI,78
PT,78
DX,76
FL,76
MC,76
GH,76
TV,74
ARE,71
RY,71
UG,71
TT,70
DOW,68
MT,67
TG,67
PRPL,67
CEO,66
DTE,65
TQQQ,64
ONE,63
NOW,63
GAN,63
DK,62
FOR,62
NS,62
SM,62
TER,62
OLD,62
HT,61
LIN,61
SU,61
EVER,61
BY,60
TU,60
TGT,59
RRR,59
FI,58
LN,57
WMT,57
EARS,57
PD,56
CC,55
GOOG,55
JD,55
ATV,52
KO,52
JPM,52
CR,51
ATVI,51
OVID,51
NIO,50
BLNK,50
PPL,48
KL,47
ZM,47
ROP,46
NKLA,46
FR,45
HY,45
RES,45
SHO,45
GOLD,44
BB,44
KN,44
BAC,43
AIN,42
FC,42
USA,42
EAD,41
LX,41
IMO,40
NET,40
GM,40
OUT,40
TW,40
FF,39
OMC,39
RL,39
PEN,38
TK,38
NFLX,38
RM,37
TSM,37
YI,37
BIT,36
CP,36
CI,36
STK,36
LLY,36
PAC,36
PRI,36
UI,36
WOR,36
OSTK,36
VERY,36
AU,34
DY,34
MG,34
SHI,34
SPCE,34
ALLY,33
DOC,33
KOD,33
MOR,33
KODK,32
CLI,32
MR,32
NL,32
CAN,32
BLE,31
PDT,31
EAT,30
MAN,30
RIG,30
WF,30
HD,29
SC,29
WORK,29
BIG,28
XOM,28
GD,28
RC,28
UA,28
GOOGL,28
NLY,27
AX,27
CS,27
DG,27
SR,27
STE,27
TEN,27
GEVO,27
GRWG,27
YIN,27
CHE,26
ESS,26
HR,26
ORN,26
PH,26
LOW,25
MN,25
TDA,25
TX,25
TY,25
UPS,25
LULU,25
ANY,25
EB,24
ACT,24
GAIN,24
TLT,24
INS,23
AME,23
ATI,22
CB,22
COR,22
DB,22
GOL,22
NOK,22
PG,22
NEW,22
XT,22
MAR,22
PTON,22
PXS,22
DL,21
HES,21
MAC,21
RAD,21
UE,21
CAC,21
PLUG,21
AAN,20
HCA,20
PFE,20
HCAC,20
TUR,20
CG,20
BBY,19
CF,19
DRI,19
NP,19
DOCU,19
DKNG,19
MAG,18
MIN,18
SAVE,18
TAL,18
DIS,18
WFC,18
WIT,18
ERIC,18
MAT,18
AMC,17
AFT,17
MEN,17
MUS,17
DIN,17
KR,17
NEV,17
POR,17
FUTU,17
III,17
IQ,17
OTRK,17
SQQQ,17
DIT,16
GDP,16
